template,dataset,status,normalized,data_modality,task_type,problem_type,z_score
03329466099b.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
238692983a8f.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
d57d3e92abe9.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
1411e0f0987e.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
101ce988402f.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
e8756a7b0604.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
83aa17a37df6.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
f5a5c95a619f.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
a7e1007159cb.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
c583d16d556c.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
8e71801c0e4b.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
c78d22007a54.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
7e2e9e6cdb1c.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
5739bbe9d840.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
4aa3bd749dea.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
9cf7fd634b8f.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
67db7b657bbe.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
2a7935ef10f2.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
def560d168ed.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
d6a18f3eece2.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
5ec028e7cfa7.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
053c9d0ae43f.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
63a300d546fc.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
c4c9f20dde82.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
6cb8995cf9ad.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
0f7a61df90a6.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
01cbe0574935.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
8cc863b9cd62.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
222ee9b892c3.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
3ace84a9a1fc.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
505ec718103a.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
469a84446bdd.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
c8a745d1e6f7.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
e5f6221715a1.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
53395260e068.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965581579956228,multi_table,regression,multi_table/regression,0.16471446238221452
07093247c3dc.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965504128778268,multi_table,regression,multi_table/regression,0.16466633113838014
60e96287c9ab.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965500911431904,multi_table,regression,multi_table/regression,0.16466433175132866
7fe9d7366b31.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965421310397494,multi_table,regression,multi_table/regression,0.1646148645011519
386d4b284c9d.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965421310397494,multi_table,regression,multi_table/regression,0.1646148645011519
f8970e09a9a0.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965384033417845,multi_table,regression,multi_table/regression,0.16459169910271396
5397a9e272f3.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965346035059358,multi_table,regression,multi_table/regression,0.16456808541076265
766f54851ff1.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965346035059358,multi_table,regression,multi_table/regression,0.16456808541076265
f16a61396fce.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965346035059358,multi_table,regression,multi_table/regression,0.16456808541076265
55bb52fc3e0a.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965346035059358,multi_table,regression,multi_table/regression,0.16456808541076265
0a20d587980a.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965346035059358,multi_table,regression,multi_table/regression,0.16456808541076265
938a906ba6f8.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965346035059358,multi_table,regression,multi_table/regression,0.16456808541076265
cf4e1a9ddd68.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965346035059358,multi_table,regression,multi_table/regression,0.16456808541076265
2919b3904c1e.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965346035059358,multi_table,regression,multi_table/regression,0.16456808541076265
f99eb740e9df.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965346035059358,multi_table,regression,multi_table/regression,0.16456808541076265
3c72c13e24e3.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965346035059358,multi_table,regression,multi_table/regression,0.16456808541076265
61f4549ba64c.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965346035059358,multi_table,regression,multi_table/regression,0.16456808541076265
08326dac33b5.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965346035059358,multi_table,regression,multi_table/regression,0.16456808541076265
8f16e6b2390b.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965346035059358,multi_table,regression,multi_table/regression,0.16456808541076265
a8f3442d2ab8.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965346035059358,multi_table,regression,multi_table/regression,0.16456808541076265
b510f1f4076a.json,uu9_posts_2_MIN_METADATA,SCORED,0.996534594585869,multi_table,regression,multi_table/regression,0.1645680299779182
2e1ad943e48d.json,uu9_posts_2_MIN_METADATA,SCORED,0.9964172945858012,multi_table,regression,multi_table/regression,0.16383908110280188
0764c3fc0010.json,uu9_posts_2_MIN_METADATA,SCORED,0.9963987948192404,multi_table,regression,multi_table/regression,0.16372411619217453
ff11384e1587.json,uu9_posts_2_MIN_METADATA,SCORED,0.9963765790302354,multi_table,regression,multi_table/regression,0.16358605843944043
819993f22c57.json,uu9_posts_2_MIN_METADATA,SCORED,0.9961605756057459,multi_table,regression,multi_table/regression,0.16224372721001307
4ec720967e25.json,uu9_posts_2_MIN_METADATA,SCORED,0.9960395989308338,multi_table,regression,multi_table/regression,0.16149193001443357
a75dbc77f6e6.json,uu9_posts_2_MIN_METADATA,SCORED,0.9952359285904436,multi_table,regression,multi_table/regression,0.15649760273179875
c93c08ba177f.json,uu9_posts_2_MIN_METADATA,SCORED,0.9938783810928268,multi_table,regression,multi_table/regression,0.1480612624015974
c27113dbae8b.json,uu9_posts_2_MIN_METADATA,SCORED,0.9856589108298348,multi_table,regression,multi_table/regression,0.09698220358833375
cf84964048c8.json,uu9_posts_2_MIN_METADATA,SCORED,0.0,multi_table,regression,multi_table/regression,-6.0282944706006285
d488ee46accc.json,uu9_posts_2_MIN_METADATA,SCORED,0.0,multi_table,regression,multi_table/regression,-6.0282944706006285
51b57228251e.json,uu9_posts_2_MIN_METADATA,SCORED,0.0,multi_table,regression,multi_table/regression,-6.0282944706006285
05f103916567.json,uu8_posts_1_MIN_METADATA,SCORED,0.9945846529523032,multi_table,regression,multi_table/regression,4.124853136703025
f3f0229322ba.json,uu8_posts_1_MIN_METADATA,SCORED,0.9927678035809644,multi_table,regression,multi_table/regression,3.425870623236624
0fe905d11e6d.json,uu8_posts_1_MIN_METADATA,SCORED,0.9840561143144834,multi_table,regression,multi_table/regression,0.07428927803359076
cf24005807b8.json,uu8_posts_1_MIN_METADATA,SCORED,0.9839733600622516,multi_table,regression,multi_table/regression,0.04245186975004287
